Species,longitude,latitude
Anolis_chlorocyanus,-71.6833,19.3167
Anolis_chlorocyanus,-69.5143,19.3167
Anolis_chlorocyanus,-72.1119,19.3356
Anolis_chlorocyanus,-69.996,19.3771
Anolis_chlorocyanus,-70.5308,19.3933
Anolis_chlorocyanus,-70.5314,19.4075
Anolis_chlorocyanus,-71.6167,19.4076
Anolis_chlorocyanus,-71.141,19.414
Anolis_chlorocyanus,-70.6857,19.45
Anolis_chlorocyanus,-70.7,19.45
Anolis_chlorocyanus,-70.6244,19.4558
Anolis_chlorocyanus,-71.169,19.499
Anolis_chlorocyanus,-72.55,19.5167
Anolis_chlorocyanus,-72.4208,19.52
Anolis_chlorocyanus,-72.2392,19.5256
Anolis_chlorocyanus,-72.1647,19.5756
Anolis_chlorocyanus,-72.2333,19.5833
Anolis_chlorocyanus,-70.5833,19.6
Anolis_chlorocyanus,-73.3333,19.7
Anolis_chlorocyanus,-70.6303,19.7244
Anolis_chlorocyanus,-71.55,19.7576
Anolis_chlorocyanus,-70.5167,19.7667
Anolis_chlorocyanus,-72.3514,19.7669
Anolis_chlorocyanus,-70.6989,19.7947
Anolis_chlorocyanus,-73.3667,19.8167
Anolis_chlorocyanus,-72.5442,19.8397
Anolis_chlorocyanus,-72.7333,20.0167
Anolis_chlorocyanus,-70.117,18.306
Anolis_chlorocyanus,-70.3219,18.3125
Anolis_chlorocyanus,-70.3292,18.3519
Anolis_chlorocyanus,-71.573,18.396
Anolis_chlorocyanus,-71.575,18.397
Anolis_chlorocyanus,-68.891,18.4167
Anolis_chlorocyanus,-69.394,18.444
Anolis_chlorocyanus,-70.5894,18.45
Anolis_chlorocyanus,-70.1892,18.4525
Anolis_chlorocyanus,-69.6161,18.4531
Anolis_chlorocyanus,-71.0825,18.4594
Anolis_chlorocyanus,-70.2402,18.4883
Anolis_chlorocyanus,-69.9981,18.5003
Anolis_chlorocyanus,-70.0111,18.5319
Anolis_chlorocyanus,-70.0133,18.5339
Anolis_chlorocyanus,-70.0996,18.5458
Anolis_chlorocyanus,-72.2667,18.5833
Anolis_chlorocyanus,-71.6456,18.5972
Anolis_chlorocyanus,-71.7792,18.6436
Anolis_chlorocyanus,-70.5036,18.6489
Anolis_chlorocyanus,-71.0654,18.6982
Anolis_chlorocyanus,-68.65,18.76
Anolis_chlorocyanus,-72.1256,18.7656
Anolis_chlorocyanus,-70.3775,18.7689
Anolis_chlorocyanus,-72.0027,18.7814
Anolis_chlorocyanus,-71.5133,18.7894
Anolis_chlorocyanus,-68.648,18.814
Anolis_chlorocyanus,-70.038,18.824
Anolis_chlorocyanus,-68.671,18.844
Anolis_chlorocyanus,-69.25,18.8615
Anolis_chlorocyanus,-71.2776,18.9088
Anolis_chlorocyanus,-69.1106,18.9208
Anolis_chlorocyanus,-72.0526,18.9237
Anolis_chlorocyanus,-72.6603,18.9261
